word,Macbeth frequency,NewAtlantis frequency,sum of frequencies
sheele,1,0,1
whilest,1,0,1
frame,1,0,1
dis-ioynt,1,0,1
worlds,1,0,1
meale,1,0,1
affliction,1,0,1
nightly,1,0,1
torture,1,0,1
restless,1,0,1
extasie,1,0,1
lifes,1,0,1
fitfull,1,0,1
fever,1,0,1
sleepes,1,0,1
poyson,1,0,1
domestique,1,0,1
forraine,1,0,1
levy,1,0,1
sleeke,1,0,1
ioviall,1,0,1
gvests,1,0,1
apply,1,0,1
eminence,1,0,1
unsafe,1,0,1
lave,1,0,1
flattering,1,0,1
streames,1,0,1
vizards,1,0,1
disgvising,1,0,1
scorpions,1,0,1
knowst,1,0,1
coppies,1,0,1
etern,1,0,1
assaileable,1,0,1
iocund,1,0,1
flowne,1,0,1
cloystered,1,0,1
shard-born,1,0,1
beetle,1,0,1
drowsy,1,0,1
rung,1,0,1
yawning,1,0,1
peale,1,0,1
chuck,1,0,1
seeling,1,0,1
skarfe,1,0,1
invisible,1,0,1
cancell,1,0,1
pieces,1,0,1
thickens,1,0,1
crow,1,0,1
rooky,1,0,1
droope,1,0,1
drowse,1,0,1
agents,1,0,1
preys,1,0,1
rowse,1,0,1
marvellst,1,0,1
ioyne,1,0,1
mistrust,1,0,1
delivers,1,0,1
glimmers,1,0,1
streakes,1,0,1
spurres,1,0,1
lated,1,0,1
inn,1,0,1
approches,1,0,1
usvally,1,0,1
rayne,1,0,1
trecherie,1,0,1
affaire,1,0,1
hearty,1,0,1
hostess,1,0,1
speakes,1,0,1
encounter,1,0,1
harts,1,0,1
midst,1,0,1
cut-throats,1,0,1
didst,1,0,1
non-pareill,1,0,1
scaped,1,0,1
founded,1,0,1
rocke,1,0,1
casing,1,0,1
cabined,1,0,1
cribed,1,0,1
confined,1,0,1
ditch,1,0,1
bides,1,0,1
trenched,1,0,1
worme,1,0,1
teeth,1,0,1
murderer,1,0,1
vouched,1,0,1
feede,1,0,1
remembrancer,1,0,1
digestion,1,0,1
waite,1,0,1
appetite,1,0,1
mayt,1,0,1
roofed,1,0,1
graced,1,0,1
challenge,1,0,1
unkindnesse,1,0,1
mischance,1,0,1
(sir),1,0,1
layes,1,0,1
pleast,1,0,1
tables,1,0,1
reserved,1,0,1
goary,1,0,1
youth,1,0,1
momentary,1,0,1
offend,1,0,1
extend,1,0,1
appall,1,0,1
painting,1,0,1
ayre-drawne-dagger,1,0,1
flawes,1,0,1
starts,1,0,1
(impostors,1,0,1
feare),1,0,1
winters,1,0,1
authorized,1,0,1
grandam,1,0,1
stoole,1,0,1
loe,1,0,1
nod,1,0,1
charnell,1,0,1
bury,1,0,1
monuments,1,0,1
mawes,1,0,1
kytes,1,0,1
quite,1,0,1
unmanned,1,0,1
fy,1,0,1
olden,1,0,1
statute,1,0,1
purged,1,0,1
performed,1,0,1
crownes,1,0,1
stooles,1,0,1
muse,1,0,1
infirmity,1,0,1
thirst,1,0,1
pledge,1,0,1
avant,1,0,1
quit,1,0,1
marrowless,1,0,1
speculation,1,0,1
glare,1,0,1
peeres,1,0,1
spoyles,1,0,1
russian,1,0,1
rhinoceros,1,0,1
hircan,1,0,1
nerves,1,0,1
tremble,1,0,1
desart,1,0,1
trembling,1,0,1
inhabit,1,0,1
baby,1,0,1
girle,1,0,1
unreall,1,0,1
mockry,1,0,1
displaced,1,0,1
admired,1,0,1
overcome,1,0,1
summers,1,0,1
clowd,1,0,1
speciall,1,0,1
ruby,1,0,1
blanched,1,0,1
enrages,1,0,1
augures,1,0,1
understood,1,0,1
relations,1,0,1
maggot,1,0,1
pyes,1,0,1
choughes,1,0,1
rookes,1,0,1
secretst,1,0,1
oddes,1,0,1
sayst,1,0,1
denies,1,0,1
bidding,1,0,1
(and,1,0,1
will),1,0,1
stept,1,0,1
wade,1,0,1
returning,1,0,1
tedious,1,0,1
ore,1,0,1
acted,1,0,1
scand,1,0,1
self-abuse,1,0,1
initiate,1,0,1
angerly,1,0,1
(beldams),1,0,1
over-bold,1,0,1
trafficke,1,0,1
riddles,1,0,1
affaires,1,0,1
mistris,1,0,1
contriver,1,0,1
wayward,1,0,1
spightfull,1,0,1
wrathfull,1,0,1
gon,1,0,1
pit,1,0,1
acheron,1,0,1
meete,1,0,1
destinie,1,0,1
spels,1,0,1
noone,1,0,1
corner,1,0,1
hangs,1,0,1
vaprous,1,0,1
profound,1,0,1
distilled,1,0,1
magicke,1,0,1
slights,1,0,1
artificiall,1,0,1
illusion,1,0,1
spurn,1,0,1
bove,1,0,1
security,1,0,1
mortals,1,0,1
cheefest,1,0,1
foggy,1,0,1
cloud,1,0,1
stayes,1,0,1
sheel,1,0,1
interpret,1,0,1
pittied,1,0,1
(ift,1,0,1
monstrous,1,0,1
fact,1,0,1
delinquents,1,0,1
slaves,1,0,1
thralles,1,0,1
nobly,1,0,1
wisely,1,0,1
twould,1,0,1
angered,1,0,1
denyt,1,0,1
andt,1,0,1
not),1,0,1
fayled,1,0,1
bestowes,1,0,1
(from,1,0,1
holds,1,0,1
birth),1,0,1
receyved,1,0,1
edward,1,0,1
malevolence,1,0,1
ayd,1,0,1
northumberland,1,0,1
above),1,0,1
ratify,1,0,1
worke),1,0,1
banquets,1,0,1
knives,1,0,1
faithfull,1,0,1
homage,1,0,1
exasperate,1,0,1
prepares,1,0,1
clowdy,1,0,1
turnes,1,0,1
rve,1,0,1
clogges,1,0,1
unfold,1,0,1
suffering,1,0,1
quartus,1,0,1
brinded,1,0,1
mewed,1,0,1
hedge-pigge,1,0,1
whined,1,0,1
harpier,1,0,1
poysond,1,0,1
entrailes,1,0,1
toad,1,0,1
sweltred,1,0,1
pot,1,0,1
toile,1,0,1
fillet,1,0,1
fenny,1,0,1
bake,1,0,1
newt,1,0,1
frogge,1,0,1
wooll,1,0,1
dogge,1,0,1
adders,1,0,1
forke,1,0,1
blinde-wormes,1,0,1
sting,1,0,1
lizards,1,0,1
legge,1,0,1
howlets,1,0,1
powrefull,1,0,1
hell-broth,1,0,1
dragon,1,0,1
mummey,1,0,1
maw,1,0,1
gulfe,1,0,1
ravined,1,0,1
sharke,1,0,1
hemlocke,1,0,1
liver,1,0,1
blaspheming,1,0,1
iew,1,0,1
goate,1,0,1
slippes,1,0,1
yew,1,0,1
slivered,1,0,1
moones,1,0,1
ecclipse,1,0,1
nose,1,0,1
turke,1,0,1
tartars,1,0,1
birth-strangled,1,0,1
ditch-delivered,1,0,1
drab,1,0,1
grewell,1,0,1
thicke,1,0,1
slab,1,0,1
thereto,1,0,1
chawdron,1,0,1
cawdron,1,0,1
baboones,1,0,1
share,1,0,1
gaines,1,0,1
elves,1,0,1
fairies,1,0,1
inchanting,1,0,1
pricking,1,0,1
thumbes,1,0,1
knockes,1,0,1
midnight,1,0,1
hags,1,0,1
coniure,1,0,1
professe,1,0,1
(how,1,0,1
untye,1,0,1
windes,1,0,1
yesty,1,0,1
waves,1,0,1
swallow,1,0,1
bladed,1,0,1
topple,1,0,1
warders,1,0,1
pallaces,1,0,1
pyramids,1,0,1
slope,1,0,1
foundations,1,0,1
germaine,1,0,1
tumble,1,0,1
aske,1,0,1
thhadst,1,0,1
mouthes,1,0,1
masters,1,0,1
sowes,1,0,1
farrow,1,0,1
greaze,1,0,1
sweaten,1,0,1
murderers,1,0,1
gibbet,1,0,1
flame,1,0,1
deaftly,1,0,1
nought,1,0,1
dismisse,1,0,1
harped,1,0,1
potent,1,0,1
apparition,1,0,1
iled,1,0,1
resolute,1,0,1
pale-hearted,1,0,1
rises,1,0,1
weares,1,0,1
baby-brow,1,0,1
listen,1,0,1
metled,1,0,1
chafes,1,0,1
conspirers,1,0,1
vanquished,1,0,1
untill,1,0,1
byrnam,1,0,1
dunsmane,1,0,1
descend,1,0,1
earth-bound,1,0,1
boadments,1,0,1
lease,1,0,1
throbs,1,0,1
kingdome,1,0,1
shadowes,1,0,1
eye-bals,1,0,1
gold-bound-brow,1,0,1
hagges,1,0,1
-,1,0,1
fourth,1,0,1
stretch,1,0,1
toth,1,0,1
cracke,1,0,1
doome,1,0,1
seaventh,1,0,1
eighth,1,0,1
appeares,1,0,1
shewes,1,0,1
two-fold,1,0,1
balles,1,0,1
trebble,1,0,1
scepters,1,0,1
blood-boltered,1,0,1
amazedly,1,0,1
delights,1,0,1
antique,1,0,1
dance,1,0,1
pernitious,1,0,1
aye,1,0,1
kalender,1,0,1
whereon,1,0,1
gallopping,1,0,1
anticipatst,1,0,1
dread,1,0,1
exploits,1,0,1
flighty,1,0,1
ore-tooke,1,0,1
unless,1,0,1
thoght,1,0,1
surprize,1,0,1
unfortunate,1,0,1
trace,1,0,1
boasting,1,0,1
macduffes,1,0,1
madam,1,0,1
madness,1,0,1
actions,1,0,1
wisedom,1,0,1
mansion,1,0,1
wren,1,0,1
diminitive,1,0,1
birds),1,0,1
nest,1,0,1
runnes,1,0,1
deerest,1,0,1
cooz,1,0,1
judicious,1,0,1
fits,1,0,1
rumor,1,0,1
floate,1,0,1
cease,1,0,1
climbe,1,0,1
upward,1,0,1
cosine,1,0,1
fathered,1,0,1
father-lesse,1,0,1
sirra,1,0,1
wormes,1,0,1
flyes,1,0,1
thovedst,1,0,1
pitfall,1,0,1
gin,1,0,1
bvy,1,0,1
market,1,0,1
sell,1,0,1
ifaith,1,0,1
sweares,1,0,1
liars,1,0,1
fools,1,0,1
lyars,1,0,1
monkie,1,0,1
youled,1,0,1
signe,1,0,1
quickely,1,0,1
pratler,1,0,1
talkst,1,0,1
dame,1,0,1
neerely,1,0,1
homely,1,0,1
fright,1,0,1
thinkes,1,0,1
ny,1,0,1
preserve,1,0,1
earthly,1,0,1
laudable,1,0,1
dangerous,1,0,1
(alas),1,0,1
womanly,1,0,1
unsanctified,1,0,1
lyst,1,0,1
shagge-eared,1,0,1
egge,1,0,1
fry,1,0,1
treachery,1,0,1
run,1,0,1
crying,1,0,1
shade,1,0,1
sad,1,0,1
empty,1,0,1
bestride,1,0,1
downfall,1,0,1
birthdome,1,0,1
morne,1,0,1
widdowes,1,0,1
howle,1,0,1
orphans,1,0,1
sorowes,1,0,1
resounds,1,0,1
felt,1,0,1
yelled,1,0,1
dolour,1,0,1
waile,1,0,1
redresse,1,0,1
wil,1,0,1
sole,1,0,1
blisters,1,0,1
touched,1,0,1
appease,1,0,1
angry,1,0,1
treacherous,1,0,1
vertvous,1,0,1
transpose,1,0,1
brightest,1,0,1
brows,1,0,1
rawness,1,0,1
motives,1,0,1
knots,1,0,1
iealousies,1,0,1
dishonors,1,0,1
safeties,1,0,1
rightly,1,0,1
tyrrany,1,0,1
basis,1,0,1
check,1,0,1
wrongs,1,0,1
thinkst,1,0,1
graspe,1,0,1
boot,1,0,1
offended,1,0,1
beneath,1,0,1
yoake,1,0,1
weepes,1,0,1
bleeds,1,0,1
gash,1,0,1
uplifted,1,0,1
thousands,1,0,1
treade,1,0,1
succeede,1,0,1
grafted,1,0,1
compared,1,0,1
confineless,1,0,1
legions,1,0,1
grant,1,0,1
luxurious,1,0,1
avaricious,1,0,1
deceitfull,1,0,1
sodaine,1,0,1
malicious,1,0,1
smacking,1,0,1
sinne,1,0,1
bottome,1,0,1
voluptvousness,1,0,1
matrons,1,0,1
maides,1,0,1
cestern,1,0,1
continent,1,0,1
impediments,1,0,1
ore-beare,1,0,1
oppose,1,0,1
boundless,1,0,1
intemperance,1,0,1
emptying,1,0,1
pleasures,1,0,1
hoodwinke,1,0,1
dames,1,0,1
vulture,1,0,1
devoure,1,0,1
dedicate,1,0,1
inclinde,1,0,1
ill-composd,1,0,1
stanchless,1,0,1
nobles,1,0,1
lands,1,0,1
iewels,1,0,1
more-having,1,0,1
hunger,1,0,1
forge,1,0,1
quarrels,1,0,1
uniust,1,0,1
destroying,1,0,1
wealth,1,0,1
stickes,1,0,1
pernicious,1,0,1
summer-seeming,1,0,1
foysons,1,0,1
portable,1,0,1
king-becoming,1,0,1
verity,1,0,1
temprance,1,0,1
stablenesse,1,0,1
perseverance,1,0,1
lowlinesse,1,0,1
devotion,1,0,1
fortitude,1,0,1
rellish,1,0,1
division,1,0,1
crime,1,0,1
acting,1,0,1
concord,1,0,1
uprore,1,0,1
universall,1,0,1
unity,1,0,1
natio[n],1,0,1
miserable,1,0,1
untitled,1,0,1
sceptred,1,0,1
wholsome,1,0,1
trvest,1,0,1
interdiction,1,0,1
accust,1,0,1
blaspheme,1,0,1
sainted-king,1,0,1
bore,1,0,1
oftner,1,0,1
repeatst,1,0,1
banished,1,0,1
integrity,1,0,1
wiped,1,0,1
reconciled,1,0,1
divellish,1,0,1
traines,1,0,1
win,1,0,1
modest,1,0,1
pluckes,1,0,1
over-credulous,1,0,1
deale,1,0,1
unspeake,1,0,1
detraction,1,0,1
abiure,1,0,1
taints,1,0,1
blames,1,0,1
laide,1,0,1
forsworne,1,0,1
scarsely,1,0,1
coveted,1,0,1
betray,1,0,1
speaking,1,0,1
goodnesse,1,0,1
warranted,1,0,1
quarrell,1,0,1
unwelcom,1,0,1
reconcile,1,0,1
crew,1,0,1
malady,1,0,1
convinces,1,0,1
assay,1,0,1
sanctity,1,0,1
amend,1,0,1
tis,1,0,1
evill,1,0,1
myraculous,1,0,1
remaine,1,0,1
solicites,1,0,1
visited,1,0,1
swoln,1,0,1
ulcerous,1,0,1
surgery,1,0,1
cures,1,0,1
stampe,1,0,1
neckes,1,0,1
benediction,1,0,1
vertve,1,0,1
gvift,1,0,1
prophesie,1,0,1
blessings,1,0,1
countryman,1,0,1
cozen,1,0,1
countrey,1,0,1
sighes,1,0,1
groanes,1,0,1
shrieks,1,0,1
rent,1,0,1
modern,1,0,1
extasy,1,0,1
deadmans,1,0,1
scarse,1,0,1
expire,1,0,1
caps,1,0,1
dying,1,0,1
nice,1,0,1
hisse,1,0,1
speaker,1,0,1
teemes,1,0,1
battered,1,0,1
niggard,1,0,1
gost,1,0,1
transport,1,0,1
tydings,1,0,1
heavily,1,0,1
rumour,1,0,1
witnest,1,0,1
a-foot,1,0,1
create,1,0,1
soldiours,1,0,1
doffe,1,0,1
dire,1,0,1
distresses,1,0,1
beet,1,0,1
lent,1,0,1
older,1,0,1
christendome,1,0,1
howled,1,0,1
desert,1,0,1
latch,1,0,1
concern,1,0,1
fee-griefe,1,0,1
shares,1,0,1
pertaines,1,0,1
dispise,1,0,1
possess,1,0,1
heaviest,1,0,1
humh,1,0,1
gvess,1,0,1
surprized,1,0,1
savagely,1,0,1
slaughtered,1,0,1
browes,1,0,1
whispers,1,0,1
ore-fraught,1,0,1
bids,1,0,1
ro,1,0,1
kiled,1,0,1
comforted,1,0,1
medcines,1,0,1
deadly,1,0,1
greefe,1,0,1
hell-kite,1,0,1
chickens,1,0,1
damme,1,0,1
swoope,1,0,1
dispute,1,0,1
sinfull,1,0,1
strooke,1,0,1
naught,1,0,1
demerits,1,0,1
slaughter,1,0,1
whetstone,1,0,1
convert,1,0,1
anger,1,0,1
blunt,1,0,1
enrage,1,0,1
braggart,1,0,1
short,1,0,1
intermission,1,0,1
length,1,0,1
scape,1,0,1
ripe,1,0,1
shaking,1,0,1
powres,1,0,1
quintus,1,0,1
wayting,1,0,1
gentlewoman,1,0,1
watched,1,0,1
perceive,1,0,1
uppon,1,0,1
unlocke,1,0,1
closset,1,0,1
paper,1,0,1
folde,1,0,1
afterwards,1,0,1
seale,1,0,1
perturbation,1,0,1
receyve,1,0,1
benefit,1,0,1
watching,1,0,1
slumbry,1,0,1
agitation,1,0,1
actvall,1,0,1
performances,1,0,1
witnesse,1,0,1
confirme,1,0,1
taper,1,0,1
lo,1,0,1
gvise,1,0,1
continvally,1,0,1
sense,1,0,1
rubbes,1,0,1
accustomed,1,0,1
action,1,0,1
washing,1,0,1
quarter,1,0,1
heark,1,0,1
speaks,1,0,1
murky,1,0,1
fye,1,0,1
fie,1,0,1
accompt,1,0,1
olde,1,0,1
marre,1,0,1
starting,1,0,1
perfumes,1,0,1
arabia,1,0,1
sweeten,1,0,1
sigh,1,0,1
sorely,1,0,1
walkt,1,0,1
beds,1,0,1
ons,1,0,1
directly,1,0,1
whisprings,1,0,1
deafe,1,0,1
discharge,1,0,1
needs,1,0,1
physitian,1,0,1
annoyance,1,0,1
mated,1,0,1
unkle,1,0,1
revenges,1,0,1
grim,1,0,1
alarme,1,0,1
excite,1,0,1
mortified,1,0,1
brother,1,0,1
gentry,1,0,1
unruffe,1,0,1
youths,1,0,1
fortifies,1,0,1
buckle,1,0,1
distempered,1,0,1
belt,1,0,1
rule,1,0,1
minutely,1,0,1
revolts,1,0,1
upbraid,1,0,1
faith-breach,1,0,1
commands,1,0,1
giants,1,0,1
dwarfish,1,0,1
theefe,1,0,1
pestered,1,0,1
condemne,1,0,1
medcine,1,0,1
dew,1,0,1
weeds,1,0,1
birnan,1,0,1
reports,1,0,1
taint,1,0,1
consequences,1,0,1
pronounced,1,0,1
epicures,1,0,1
sagge,1,0,1
damn,1,0,1
cream-faced,1,0,1
loone,1,0,1
gotst,1,0,1
goose-looke,1,0,1
geese,1,0,1
over-red,1,0,1
lilly-livered,1,0,1
patch,1,0,1
linnen,1,0,1
counsailers,1,0,1
whay-face,1,0,1
dis-eate,1,0,1
faln,1,0,1
accompany,1,0,1
old-age,1,0,1
troopes,1,0,1
steed,1,0,1
curses,1,0,1
lowd,1,0,1
mouth-honor,1,0,1
faine,1,0,1
hackt,1,0,1
seyt,1,0,1
moe,1,0,1
skirre,1,0,1
talke,1,0,1
sicke,1,0,1
thicke-comming,1,0,1
canst,1,0,1
diseased,1,0,1
plucke,1,0,1
rooted,1,0,1
raze,1,0,1
oblivious,1,0,1
antidote,1,0,1
cleanse,1,0,1
stufft,1,0,1
perillous,1,0,1
weighes,1,0,1
dogs,1,0,1
armour,1,0,1
staffe,1,0,1
pristine,1,0,1
eccho,1,0,1
pullt,1,0,1
rubarb,1,0,1
cyme,1,0,1
purgative,1,0,1
drugge,1,0,1
scowre,1,0,1
hearst,1,0,1
bane,1,0,1
profit,1,0,1
cosins,1,0,1
seyw,1,0,1
hew,1,0,1
bough,1,0,1
beart,1,0,1
hoast,1,0,1
erre,1,0,1
syw,1,0,1
confident,1,0,1
indure,1,0,1
befort,1,0,1
advantage,1,0,1
constrained,1,0,1
absent,1,0,1
censures,1,0,1
event,1,0,1
industrious,1,0,1
souldiership,1,0,1
approaches,1,0,1
decision,1,0,1
speculative,1,0,1
unsure,1,0,1
arbitrate,1,0,1
advance,1,0,1
outward,1,0,1
siedge,1,0,1
agve,1,0,1
darefull,1,0,1
backward,1,0,1
cooled,1,0,1
night-shrieke,1,0,1
treatise,1,0,1
rowze,1,0,1
int,1,0,1
horrors,1,0,1
direness,1,0,1
slaughterous,1,0,1
lord),1,0,1
heereafter,1,0,1
creepes,1,0,1
petty,1,0,1
recorded,1,0,1
yesterdayes,1,0,1
dusty,1,0,1
breefe,1,0,1
candle,1,0,1
player,1,0,1
struts,1,0,1
ideot,1,0,1
signifying,1,0,1
comst,1,0,1
lyar,1,0,1
endure,1,0,1
wrath,1,0,1
moving,1,0,1
grove,1,0,1
resolution,1,0,1
equivocation,1,0,1
avouches,1,0,1
appeare,1,0,1
tarrying,1,0,1
ginn,1,0,1
a-weary,1,0,1
undon,1,0,1
harness,1,0,1
boughes,1,0,1
leavy,1,0,1
skreenes,1,0,1
unkle),1,0,1
leade,1,0,1
battell,1,0,1
trumpets,1,0,1
clamorous,1,0,1
harbingers,1,0,1
continved,1,0,1
stake,1,0,1
beare-like,1,0,1
thoult,1,0,1
callst,1,0,1
hoter,1,0,1
names,1,0,1
hatefull,1,0,1
fearefull,1,0,1
lyest,1,0,1
abhorred,1,0,1
prove,1,0,1
weapons,1,0,1
brandished,1,0,1
beest,1,0,1
stroake,1,0,1
childrens,1,0,1
ghosts,1,0,1
hyred,1,0,1
staves,1,0,1
unbattered,1,0,1
sheath,1,0,1
undeeded,1,0,1
shouldst,1,0,1
clatter,1,0,1
brvited,1,0,1
gently,1,0,1
rendred,1,0,1
bravely,1,0,1
professes,1,0,1
roman,1,0,1
hell-hound,1,0,1
avoyded,1,0,1
bloodier,1,0,1
tearmes,1,0,1
loosest,1,0,1
intrenchant,1,0,1
vulnerable,1,0,1
crests,1,0,1
mothers,1,0,1
womb,1,0,1
ript,1,0,1
tels,1,0,1
cowed,1,0,1
jugling,1,0,1
fiends,1,0,1
beleeved,1,0,1
palter,1,0,1
sence,1,0,1
gaze,1,0,1
rarer,1,0,1
monsters,1,0,1
pole,1,0,1
under-writ,1,0,1
malcolmes,1,0,1
baited,1,0,1
rabbles,1,0,1
opposed,1,0,1
shield,1,0,1
retreat,1,0,1
cheapely,1,0,1
missing,1,0,1
debt,1,0,1
prowess,1,0,1
unshrinking,1,0,1
measured,1,0,1
hurts,1,0,1
soldier,1,0,1
haires,1,0,1
fairer,1,0,1
knolled,1,0,1
parted,1,0,1
score,1,0,1
newer,1,0,1
usurpers,1,0,1
compast,1,0,1
pearle,1,0,1
salutation,1,0,1
voyces,1,0,1
alowd,1,0,1
expence,1,0,1
henceforth,1,0,1
earles,1,0,1
planted,1,0,1
newly,1,0,1
calling,1,0,1
exiled,1,0,1
snares,1,0,1
watchfull,1,0,1
butcher,1,0,1
fiend-like,1,0,1
thought),1,0,1
calls,1,0,1
sailed,0,1,1
year),0,1,1
japan,0,1,1
wind,0,1,1
arose,0,1,1
failed,0,1,1
wilderness,0,1,1
lift,0,1,1
showeth,0,1,1
beginning,0,1,1
perish,0,1,1
evening,0,1,1
kenning,0,1,1
clouds,0,1,1
continents,0,1,1
hitherto,0,1,1
dawning,0,1,1
plainly,0,1,1
boscage,0,1,1
dark,0,1,1
halfs,0,1,1
entered,0,1,1
bastons,0,1,1
forbidding,0,1,1
fierceness,0,1,1
discomforted,0,1,1
advising,0,1,1
tipstaff,0,1,1
tipped,0,1,1
distrust,0,1,1
(somewhat,0,1,1
yellower,0,1,1
writing,0,1,1
flexible),0,1,1
foremost,0,1,1
hebrew,0,1,1
greek,0,1,1
latin,0,1,1
school,0,1,1
sixteen,0,1,1
meanwhile,0,1,1
help,0,1,1
repairs,0,1,1
belongeth,0,1,1
signed,0,1,1
stamp,0,1,1
cherubim,0,1,1
spread,0,1,1
downwards,0,1,1
consulting,0,1,1
hereupon,0,1,1
perplexed,0,1,1
denial,0,1,1
landing,0,1,1
hasty,0,1,1
rejoicing,0,1,1
presage,0,1,1
calms,0,1,1
contrary,0,1,1
adding,0,1,1
pleased,0,1,1
deal,0,1,1
supply,0,1,1
chargeable,0,1,1
crimson,0,1,1
tools,0,1,1
hours,0,1,1
chamolet,0,1,1
azure,0,1,1
glossy,0,1,1
huge,0,1,1
turkish,0,1,1
turbans,0,1,1
brims,0,1,1
followed,0,1,1
flightshot,0,1,1
ship-boat,0,1,1
described,0,1,1
loud,0,1,1
are,0,1,1
christians,0,1,1
were,0,1,1
fearing,0,1,1
subscription,0,1,1
lifted,0,1,1
thank,0,1,1
god),0,1,1
(all,0,1,1
merits,0,1,1
pirates,0,1,1
lawfully,0,1,1
unlawfully,0,1,1
oath,0,1,1
conservator,0,1,1
distance,0,1,1
singular,0,1,1
infectious,0,1,1
orange,0,1,1
orange-tawney,0,1,1
odour,0,1,1
preservative,0,1,1
infection,0,1,1
by,0,1,1
merits,0,1,1
labour,0,1,1
meaning,0,1,1
salary,0,1,1
learned),0,1,1
rewards,0,1,1
early,0,1,1
prevented,0,1,1
for,0,1,1
follow,0,1,1
reward,0,1,1
guide,0,1,1
streets,0,1,1
row,0,1,1
bluer,0,1,1
cambric,0,1,1
oiled,0,1,1
stairs,0,1,1
sick,0,1,1
(sick,0,1,1
whole),0,1,1
seventeen,0,1,1
cheerful,0,1,1
furnished,0,1,1
civilly,0,1,1
dorture,0,1,1
showed,0,1,1
along,0,1,1
window),0,1,1
seventeen,0,1,1
neat,0,1,1
partitions,0,1,1
(many,0,1,1
),0,1,1
infirmary,0,1,1
waxed,0,1,1
removed,0,1,1
cell,0,1,1
command),0,1,1
ship),0,1,1
doors,0,1,1
restrained,0,1,1
ease,0,1,1
abroad,0,1,1
manifested,0,1,1
smiled,0,1,1
viands,0,1,1
treat,0,1,1
collegiate,0,1,1
diet,0,1,1
wholesome,0,1,1
grape,0,1,1
grain,0,1,1
ale,0,1,1
cider,0,1,1
refreshing,0,1,1
oranges,0,1,1
assured,0,1,1
box,0,1,1
gray,0,1,1
whitish,0,1,1
wished,0,1,1
hasten,0,1,1
recovery,0,1,1
carriage,0,1,1
goods,0,1,1
assembled,0,1,1
jonas,0,1,1
whales,0,1,1
belly,0,1,1
deliverance,0,1,1
reform,0,1,1
piety,0,1,1
unworthiness,0,1,1
courtesy),0,1,1
cloistered,0,1,1
conditions,0,1,1
banish,0,1,1
attendance,0,1,1
weal,0,1,1
behave,0,1,1
people,0,1,1
admonition,0,1,1
soberly,0,1,1
civilly,0,1,1
offence,0,1,1
expired,0,1,1
amendment,0,1,1
pool,0,1,1
mended,0,1,1
lowly,0,1,1
submissive,0,1,1
sentence,0,1,1
staid,0,1,1
avoided,0,1,1
vocation,0,1,1
chiefly,0,1,1
christians,0,1,1
unwilling,0,1,1
license,0,1,1
weeks,0,1,1
precise,0,1,1
obtain,0,1,1
aforehand,0,1,1
revenue,0,1,1
thirty-seven,0,1,1
defray,0,1,1
karan,0,1,1
from,0,1,1
especial,0,1,1
leave,0,1,1
admiring,0,1,1
parent-like,0,1,1
usage,0,1,1
express,0,1,1
offers,0,1,1
picture,0,1,1
jaws,0,1,1
consolations,0,1,1
obey,0,1,1
impossible,0,1,1
enflamed,0,1,1
tread,0,1,1
ground,0,1,1
roofs,0,1,1
mouths,0,1,1
prayers,0,1,1
besought,0,1,1
accept,0,1,1
bounden,0,1,1
presenting,0,1,1
priests,0,1,1
brotherly,0,1,1
bodies,0,1,1
tenderness,0,1,1
kindness,0,1,1
prevent,0,1,1
comforts,0,1,1
expected,0,1,1
salutations,0,1,1
familiarly,0,1,1
us,0,1,1
meaner,0,1,1
abroad),0,1,1
bensalem,0,1,1
language),0,1,1
have,0,1,1
solitary,0,1,1
travellers,0,1,1
habitable,0,1,1
fittest,0,1,1
entertainment,0,1,1
you,0,1,1
conceived,0,1,1
worldly,0,1,1
all,0,1,1
(we,0,1,1
since,0,1,1
christians),0,1,1
divided,0,1,1
converted,0,1,1
faith,0,1,1
contentment,0,1,1
asking,0,1,1
seek,0,1,1
briefly,0,1,1
about,0,1,1
ascension,0,1,1
renfusa,0,1,1
eastern,0,1,1
island),0,1,1
cloudy,0,1,1
calm),0,1,1
column,0,1,1
cylinder,0,1,1
rising,0,1,1
resplendent,0,1,1
spectacle,0,1,1
sands,0,1,1
(about),0,1,1
sixty,0,1,1
theatre,0,1,1
beholding,0,1,1
brethren),0,1,1
attentively,0,1,1
devoutly,0,1,1
viewed,0,1,1
contemplated,0,1,1
raised,0,1,1
`lord,0,1,1
vouchsafed,0,1,1
appertaineth,0,1,1
men),0,1,1
forasmuch,0,1,1
workest,0,1,1
exceedest,0,1,1
cause),0,1,1
beseech,0,1,1
interpretation,0,1,1
secretly,0,1,1
us,0,1,1
when,0,1,1
prayer,0,1,1
moveable,0,1,1
unbound,0,1,1
rowed,0,1,1
brake,0,1,1
firmament,0,1,1
stars,0,1,1
chest,0,1,1
wet,0,1,1
swam,0,1,1
grew,0,1,1
branch,0,1,1
wrapped,0,1,1
sindons,0,1,1
canonical,0,1,1
receive),0,1,1
apocalypse,0,1,1
`i,0,1,1
bartholomew,0,1,1
angel,0,1,1
commit,0,1,1
floods,0,1,1
good-will,0,1,1
jesus,0,1,1
writings,0,1,1
conform,0,1,1
apostles,0,1,1
indians,0,1,1
natives,0,1,1
infidelity,0,1,1
remainder,0,1,1
water),0,1,1
apostolical,0,1,1
evangelism,0,1,1
bartholomew,0,1,1
immediately,0,1,1
